!CSV A.01.01
!Agilent Technologies,E8364C,MY43040422,A.09.42.22
!Agilent E8364C: A.09.42.22
!Date: Monday, February 18, 2019 10:56:52
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
19682500000,-0.068808049,-0.061054915,2.0726426e-013,-5.4943378e-010,0.022150144,-0.012292945,-0.029055923,0.28968063
19705000000,-0.072014146,-0.061624885,-4.7649401e-010,-2.3430721e-010,0.01849729,-0.017529728,0.25929564,-0.051768038
19727500000,-0.076154076,-0.056214474,-4.1436291e-010,2.8840161e-010,0.012907067,-0.022510154,-0.1081951,-0.25766182
19750000000,-0.083939187,-0.054943554,3.3829065e-011,5.0224241e-010,0.0065333527,-0.025413282,-0.2722165,0.07280647
19772500000,-0.085877746,-0.041454822,4.7734922e-010,2.2594343e-010,-0.00093595171,-0.026402403,0.056597069,0.24085014
19795000000,-0.090106495,-0.030453641,4.2415868e-010,-3.4218922e-010,-0.0081891166,-0.025764434,0.16113541,-0.078885756
19817500000,-0.085882053,-0.024411028,-1.216959e-010,-5.2091675e-010,-0.015955107,-0.021570353,-0.14507574,-0.2355426
19840000000,-0.082259446,-0.021095065,-5.0378973e-010,-1.340173e-010,-0.02098209,-0.017053165,-0.17897564,0.14794256
19862500000,-0.073800005,-0.013992473,-3.5869507e-010,3.6853581e-010,-0.025216147,-0.010099642,0.046306916,0.14853108
19885000000,-0.071076706,-0.010910628,1.4796567e-010,4.9699428e-010,-0.027075689,-0.002234973,0.090648465,-0.12717579
19907500000,-0.074500106,-0.012155229,5.1987797e-010,1.1088095e-010,-0.025624262,0.0055355825,-0.14257792,-0.13491243
19930000000,-0.077491857,-0.013958116,3.5291373e-010,-4.2224685e-010,-0.024469735,0.01165364,-0.13937314,0.1251175
19952500000,-0.075608984,-0.011062273,-2.3303406e-010,-5.0996068e-010,-0.019535407,0.017536115,0.084871195,0.057905391
19975000000,-0.077336714,-0.0038976194,-5.451064e-010,-1.15812e-011,-0.01414388,0.02249264,0.013536038,-0.13493901
19997500000,-0.08224187,0.0051209056,-2.5783953e-010,4.5370663e-010,-0.0076418216,0.025897883,-0.15888956,-0.027418211
20020000000,-0.07878913,0.013819821,2.6926503e-010,4.4640217e-010,-0.00038801265,0.026898211,-0.01088764,0.08079768
20042500000,-0.078906916,0.01539846,5.3373345e-010,-2.1773782e-011,0.0066878945,0.026448447,0.011603978,-0.050555516
20065000000,-0.068164937,0.022063483,2.331689e-010,-4.9837839e-010,0.01524608,0.022858424,-0.041405078,-0.13614517
20087500000,-0.057064485,0.028253164,-3.513547e-010,-4.3849277e-010,0.020166969,0.018276978,-0.071450785,0.10490499
20110000000,-0.048844311,0.030773703,-5.4103039e-010,1.2742206e-010,0.025064582,0.011822021,0.1350843,-0.0024776121
20132500000,-0.045641743,0.033825334,-1.2885745e-010,5.1667992e-010,0.027317362,0.0036868723,-0.085714035,-0.12510362
20155000000,-0.044091925,0.029401723,3.7292094e-010,3.5783235e-010,0.027082456,-0.0034218878,-0.18721555,0.092427686
20177500000,-0.045231342,0.025672244,5.0532095e-010,-1.5254159e-010,0.025136871,-0.011405232,0.11435559,0.081347518
20200000000,-0.044669058,0.026749104,1.0688864e-010,-5.2695343e-010,0.02063329,-0.016696434,0.11052205,-0.17958623
20222500000,-0.037632268,0.029954128,-4.2366485e-010,-3.3382522e-010,0.015477456,-0.021915579,-0.25308904,-0.080366202
20245000000,-0.037311718,0.037146095,-4.8525051e-010,2.2732524e-010,0.0088697309,-0.025750872,-0.092022948,0.20522697
20267500000,-0.035434075,0.045941036,-2.0781162e-011,5.2256749e-010,0.00036904722,-0.026345197,0.24104626,0.049177118
20290000000,-0.031902671,0.051526174,4.2753354e-010,2.6707056e-010,-0.0049564256,-0.024867482,-0.011287638,-0.2709569
20312500000,-0.024217857,0.047450397,4.5288906e-010,-2.2026594e-010,-0.012142981,-0.023582071,-0.36193863,-0.044737451
20335000000,-0.010268529,0.044708483,3.8325672e-011,-5.4183458e-010,-0.019012732,-0.019995904,-0.023630941,0.30074757
20357500000,0.0056739659,0.047166262,-4.9286536e-010,-2.8441871e-010,-0.02358151,-0.012600541,0.37316427,-0.087223597
20380000000,0.0080806203,0.041678704,-4.7427356e-010,3.1437272e-010,-0.026174879,-0.00637013,-0.10964947,-0.39493603
20402500000,0.011740164,0.033182219,5.6370419e-011,5.5805438e-010,-0.026250467,0.0017717388,-0.42636442,0.11662778
20425000000,0.0078994976,0.030311486,5.2249932e-010,2.116553e-010,-0.025100594,0.0087121502,0.16965382,0.40650064
20447500000,0.0099038351,0.026850622,4.2368628e-010,-3.6358436e-010,-0.02166695,0.015917256,0.37893885,-0.27312556
20470000000,0.01092297,0.027460981,-1.1765408e-010,-5.3996879e-010,-0.015762158,0.01989604,-0.29413912,-0.36870593
20492500000,0.0095503321,0.029610701,-5.4520027e-010,-1.5373389e-010,-0.010455296,0.023691859,-0.40446889,0.2080369
20515000000,0.017906263,0.035044085,-3.8489875e-010,4.293243e-010,-0.0041802907,0.026700718,0.35021758,0.47572961
20537500000,0.026769331,0.034700423,2.3511801e-010,5.1533372e-010,0.0053717708,0.025015669,0.33243665,-0.44784063
20560000000,0.033010997,0.036364116,5.2139376e-010,3.9542689e-011,0.010080068,0.022378717,-0.49537182,-0.35486984
20582500000,0.044338353,0.032836046,3.065676e-010,-4.2117942e-010,0.015636593,0.019864393,-0.35129252,0.48101485
20605000000,0.053814463,0.019035481,-2.3655194e-010,-4.9164878e-010,0.022537664,0.014715686,0.52645248,0.22786058
20627500000,0.051520064,0.01471317,-5.4684762e-010,-1.7964312e-011,0.023969652,0.0073287259,0.19908126,-0.58186895
20650000000,0.049290374,0.0028687783,-2.7765817e-010,4.7470339e-010,0.025227906,0.00051343744,-0.57894051,-0.18422522
20672500000,0.050322879,-0.0062673353,2.9112568e-010,4.784218e-010,0.024797611,-0.0054629827,-0.19137423,0.55457097
20695000000,0.045462839,-0.0064853355,5.5859317e-010,-5.1339724e-011,0.022549333,-0.012898838,0.59059882,0.11958124
20717500000,0.043495771,-0.0060793222,2.0577766e-010,-4.8809834e-010,0.017300874,-0.018186141,0.068067342,-0.66849172
20740000000,0.04348309,-0.0075812223,-3.1022523e-010,-4.2869078e-010,0.012052708,-0.021166326,-0.67932922,-0.046774272
20762500000,0.045200828,-0.010187564,-5.6746779e-010,6.8549846e-011,0.0064977775,-0.024839895,0.0030313942,0.64673996
20785000000,0.051511884,-0.0067305202,-1.7672323e-010,5.6922322e-010,-0.0018520204,-0.025786223,0.64267212,-0.10817391
20807500000,0.056529675,-0.013646589,4.2269468e-010,3.890753e-010,-0.0081074052,-0.022905182,-0.13195305,-0.69808435
20830000000,0.058476664,-0.020883659,5.2904997e-010,-1.9187621e-010,-0.013429852,-0.020365767,-0.65506071,0.16753818
20852500000,0.055448696,-0.025919966,7.9609742e-011,-5.5338062e-010,-0.018714871,-0.01790365,0.21329474,0.64498597
20875000000,0.065144666,-0.03853853,-4.5882453e-010,-3.2442898e-010,-0.024553796,-0.010141827,0.60234118,-0.30481347
20897500000,0.058425639,-0.04639538,-4.9612608e-010,2.4607469e-010,-0.024735792,-0.0028992628,-0.35314274,-0.62807333
20920000000,0.045831826,-0.047334861,-1.3682905e-011,5.7933702e-010,-0.025166843,0.0039319214,-0.57282841,0.35560456
20942500000,0.046827465,-0.055293757,5.359696e-010,2.6057115e-010,-0.022636531,0.011287336,0.36136958,0.51401287
20965000000,0.039930448,-0.058203887,4.2982853e-010,-3.4218761e-010,-0.017981803,0.015621577,0.59989971,-0.5017674
20987500000,0.033370644,-0.054859098,-8.1784371e-011,-5.1445653e-010,-0.013317497,0.019632669,-0.55263287,-0.46270511
21010000000,0.034981634,-0.051686868,-4.6448331e-010,-2.0263599e-010,-0.0068987519,0.022486703,-0.41789329,0.59374744
21032500000,0.036418494,-0.061268929,-4.4150655e-010,3.2344435e-010,-0.0014502747,0.024123084,0.563766,0.31355864
21055000000,0.035863142,-0.061881505,9.2721976e-011,5.53394e-010,0.0048196996,0.022581121,0.28076258,-0.63666105
