% Model:              negative index.PE and PM.mph
% Version:            COMSOL 4.4.0.248
% Date:               Jun 30 2014, 10:57
% Table:              Table 1 - Global Evaluation 1 (emw.S11)
% freq                                            S-parameter, 11 component (1)                     S-parameter, 21 component (1)
1.23E10                                           0.0999440918716326+0.14774107762354832i           0.7385630725832557-0.5968927875107604i
1.24E10                                           0.09460996692654+0.13234757056452598i             0.7158937518430355-0.6284171904612115i
1.25E10                                           0.08768153108224544+0.11709631141104938i          0.6920030787513678-0.6586180018249267i
1.26E10                                           0.07924197857541525+0.10211816152783798i          0.6669192464811055-0.6875187408092455i
1.27E10                                           0.06932873215365996+0.08761480041412659i          0.6406872862061641-0.7150049427865715i
1.28E10                                           0.058037300096785864+0.07368561929983604i         0.6133532230699781-0.7410916267938944i
1.29E10                                           0.04542834132754914+0.06051073495038175i          0.5849818961537864-0.765659819299315i
1.3E10                                            0.03160920778731365+0.04816319634746876i          0.5556380916381184-0.788723161697485i
1.31E10                                           0.016662566581887975+0.03680111055423845i         0.5254072179469418-0.8101674662756262i
1.32E10                                           7.02411326534438E-4+0.02647114665431921i          0.4943666882141157-0.8300123364371524i
1.33E10                                           -0.01616856881019767+0.01730797279812289i         0.4626215960154355-0.8481556071637029i
1.34E10                                           -0.0338371582585843+0.009326883114700863i         0.4302516696741129-0.8646329628165953i
1.35E10                                           -0.05217776894274001+0.0026533332613620053i       0.39739076486427394-0.8793442529933512i
1.36E10                                           -0.07108640623685628-0.002737861092473548i        0.3641086227658214-0.892354020484478i
1.37E10                                           -0.09042441669489056-0.006742186674547927i        0.3305528567473533-0.9035766286530267i
1.38E10                                           -0.11009699994652777-0.00940791977748963i         0.2967890355438443-0.9130925702501165i
1.39E10                                           -0.12995506542142105-0.010658016407831386i        0.26297436624693576-0.9208388295623118i
1.4E10                                            -0.1499213649830649-0.010558917190482589i         0.22916082667505822-0.9269081425633517i
1.41E10                                           -0.16984016756481154-0.009061181208208818i        0.19551183567088637-0.9312615520823462i
1.42E10                                           -0.18965385414037816-0.006245294797909106i        0.16206278534615157-0.934001410966906i
1.43E10                                           -0.20920653550844567-0.0020874433815268787i       0.12897711614828344-0.9351115713406372i
1.44E10                                           -0.22846065711620295+0.0033212041563345993i       0.09627258645697014-0.9347018301729154i
1.45E10                                           -0.2472662846740819+0.009982647225945144i         0.06410657457348591-0.9327755261611707i
1.46E10                                           -0.26560427552866267+0.017800675445025872i        0.03248066380665042-0.9294448411415016i
1.47E10                                           -0.28333178777986107+0.026753735707786355i        0.0015449906717125202-0.924736021016036i
1.48E10                                           -0.30046585697458505+0.036738298259692694i        -0.02873462803280225-0.9187651986196641i
